id,title,popularity,release_date,launch Month,launch Year ,vote_average,vote_count
15487,The Greatest Game Ever Played,22.084,9/30/2005,9,2005,7.2,418
11951,Vanishing Point,14.584,1/15/1971,1,1971,7.2,403
695721,The Hunger Games: The Ballad of Songbirds & Snakes,595.362,11/15/2023,11,2023,7.2,401
11177,Mask,23.54,3/8/1985,3,1985,7.2,399
36728,Naruto Shippuden the Movie: The Will of Fire,36.147,8/1/2009,8,2009,7.2,397
820446,Downton Abbey: A New Era,23.102,4/27/2022,4,2022,7.2,393
24615,Aloha Scooby-Doo!,25.668,2/8/2005,2,2005,7.2,393
10617,Once Upon a Time in China,33.712,8/15/1991,8,1991,7.2,378
16085,Funny Girl,21.026,9/19/1968,9,1968,7.2,366
335360,My Little Pony: The Movie,27.682,10/5/2017,10,2017,7.2,353
3543,Bagdad Cafe,17.135,11/12/1987,11,1987,7.2,335
20410,Scooby-Doo and the Alien Invaders,19.716,10/3/2000,10,2000,7.2,332
